name,street,street2,zip,country,city,phone,email
"089 Paletten - Paletten & Gitterboxen Handel","Hochmutting 1","","85764","DE","Oberschleißheim","","089palettenpaletteng@example.com"
"270 Vision Ltd","Caxton Close, Unit 34 Basepoint Business Centre","","SP10 3FG","UK","Andover","","270visionltd@example.com"
"3ks profile gmbh","Asangstrasße 16","","94436","DE","Simbach","","3ksprofilegmbh@example.com"
"ACTIV-IMMOBILIEN GmbH & Co. KG","Ferdinand-Dünkel-Straße 5","","88433","DE","Schemmerhofen","","activimmobiliengmbhc@example.com"
"ACUA Ocean Limited","86-90 Paul Street, 3rd Floor","","EC2A 4NE","UK","London","","acuaoceanlimited@example.com"
"ADRA Trans Adrian Swierczynski","Szpegawa Bukowa 17","","83-112","PL","Lubiszewo","","adratransadrianswier@example.com"
"AERIUS Marine GmbH","Lübecker Straße 128","","22087","DE","Hamburg","","aeriusmarinegmbh@example.com"
"AERVIDEO GmbH","Wolframstraße 24","","70191","DE","Stuttgart","","aervideogmbh@example.com"
"AGMG MUNICH GmbH","Hauptstraße 39","","85579","DE","Neubiberg","","info@agmgmunich.com"
"AGS Engineering Metalltechnik GmbH","Ernst-Wiss-Straße 18","","65933","DE","Frankfurt am Main","","agsengineeringmetall@example.com"
"AKDB","Hansastraße 12-16","","80686","DE","München","","akdb@example.com"
"AMBERGREEN FACILITIES SL","PLANTA 12-MOD.B, PASEO CASTELLANA 95 - EDIF.TORRE EUROPA","","28046","ES","Madrid","","ambergreenfacilities@example.com"
"AMBERGREEN SOLUTIONS SL.","C/ DELS FOGAINERS, 84","","46190","ES","Ribarroja del Turia, Valencia","","ambergreensolutionss@example.com"
"AMHAIMAR IT","Schäftlarnstr. 10 (Altes Kontorhaus)","","81371","DE","München","","amhaimarit@example.com"
"ANTS Logistic GmbH","Karl-Schmid-Ring 9","","07743","DE","Jena","+49 3641 3279270","info@ants-log.de"
"ARGE VisionBox","Fürstenrieder Straße 5","","80687","DE","München","","argevisionbox@example.com"
