Partner,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,DFDS,Muje,SM,Unnamed: 9,FAB,Unnamed: 11,revize satış
Loading address,Delivery country,Delivery address,Distance,Flatbed (ingauge),Ramped Lowbed (ingauge),Flatbed ,Lowbed & Flatbed,Flatbed,Lowbed,Flatbed,Lowbed,
DE95 Tirschenreuth,DE,Augsburg*,256,1350,,,1350,,,,,
,DE,Meerane*,151,1300,,,1350,,,,,
,DE,Bad Fallingbostel*,507,1350,,,1350,,,,,
,DE,Windhagen*,499,1300,,,1300,,,,,
,DE,Bremerhaven (BLG),637,1750,,,1750,,,,,
,DE,Emden,700,1800,,,1800,,,,,
,DE,Hamburg (Eurogate),597,1650,,,1650,,,,,
,DE,Mannheim,380,1000,,,1000,,,,,
,FR,Marseille,1242,2500,2900,,3900,,,2500,2900,3250.0
,NL,Rotterdam,807,1500,1700,,2150,,,1500,1700,
,BE,Zeebrügge,845,1600,1750,,2100,,,1600,1750,
,BE,Antwerpen,850,1600,1750,,2100,,,1600,1750,
,TR,Ankara,2503,5150,5500,,10500,5250,6250,5150,5500,
,ES,Barcelona,1571,5000,,,5000,,,,,
,IE,Enfield*,1845,4195,,4195,,,,,,
,PT,Leiria*,2539,4995,,4995,8000,,,,,
,GB,Newark*,1339,3695,,3695,,,,,,
,PT,Lissabon*,2631,5195,,5195,8300,,,,,
,PT,Maia*,2474,4750,,4750,7500,,,,,
,IT,Noviglio,735,,,,,,,,,
,CH,Ohringen,524,,,,,,,,,
,ES,Pinto*,2184,5540,,5540,7100,,,,,
,BE,Puurs*,776,1450,1650,,2100,,,1450,1650,
,AT,Steyrermühl*,351,1250,,,1250,,,,,
,TR,Tuzla,2076,4750,4950,,9300,5000,6000,4750,4950,
,NL,Werkendam*,783,1450,1650,,2100,,,1450,1650,
,DK,Fredericia*,856,1700,1950,,2300,,,1700,1950,
,,,,,,,,,,,,
Loading address,Delivery country,Delivery address,Distance,Tautliner 4 LDM,Tautliner 8 LDM,Tautliner FTL,,,,,,
DE95,TR,Ankara,2503,1400,2250,3350,,,,,,
,IE,Enfield,1845,1065,1775,2655,*gerish ile aktarmalı,,,,,
,PT,Leiria,2539,1600,2300,2750,,,,,,
,GB,Newark,1339,1125,1855,2825,*gerish ile aktarmalı,,,,,
,PT,Lissabon,2631,1700,2400,2970,,,,,,
,PT,Maia,2474,1550,2250,2725,,,,,,
,TR,Tuzla,2076,1200,2000,2800,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,en düşük fiyat,,,,,,,,,,
,,tek fiyat,,,,,,,,,,
,,final alış,,,,,,,,,,
,,Bold: Enfield ve Newark fiyatları aktarmalı,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,enfield,1465,2200,3150,12.5,,,,,,
